"","target_id","ext_gene","2dpi-0dpi","4dpi-0dpi","7dpi-0dpi","12dpi-0dpi"
"110","ENSDART00000010119","eef1a2",-1,-1,0,0
"111","ENSDART00000041877","csrnp1a",1,1,1,1
"112","ENSDART00000142524","chrnb2a",-1,-1,0,1
"113","ENSDART00000067190","tspan9b",-1,-1,-1,0
"114","ENSDART00000080430","gfra2b",-1,-1,-1,0
"115","ENSDART00000146227","slc24a3",-1,-1,-1,0
"116","ENSDART00000052802","calb2b",-1,-1,0,0
"117","ENSDART00000161507","zgc:153426",-1,0,1,1
"118","ENSDART00000165443","zgc:153615",-1,-1,-1,0
"119","ENSDART00000064672",NA,-1,-1,0,0
"120","ENSDART00000149335","kcna1a",-1,-1,-1,0
"121","ENSDART00000130103","kctd16a",-1,-1,0,0
"122","ENSDART00000171506",NA,-1,-1,0,0
"123","ENSDART00000111642","brinp3a.1",-1,-1,-1,0
"124","ENSDART00000134787","elavl4",1,1,1,1
"125","ENSDART00000059841","si:ch211-257p13.3",-1,-1,0,1
"126","ENSDART00000012673","gnb3a",-1,-1,-1,-1
"127","ENSDART00000103894","cacng8b",-1,-1,-1,0
"128","ENSDART00000155537","VWA5A (1 of many)",1,1,1,1
"129","ENSDART00000074678","chrnb3a",-1,-1,0,0
"130","ENSDART00000154333","camkva",-1,-1,-1,0
"131","ENSDART00000023562","CABZ01041610.1",-1,-1,-1,0
"132","ENSDART00000133304","npm1a",1,1,1,0
"133","ENSDART00000034784","adcyap1b",1,1,1,1
"134","ENSDART00000147527","si:dkey-9i23.14",1,1,1,1
"135","ENSDART00000129362","eef1a1l2",1,1,1,1
"136","ENSDART00000021798","fabp11a",1,1,0,0
"137","ENSDART00000139035","si:ch211-215c18.3",-1,0,0,1
"138","ENSDART00000018351","zgc:65851",-1,-1,0,0
"139","ENSDART00000129380","ppp5c",1,0,1,1
"140","ENSDART00000127047","tusc5a",-1,-1,0,1
"141","ENSDART00000127350","enpp1",1,1,1,0
"142","ENSDART00000109243","sema4bb",-1,-1,0,0
"143","ENSDART00000173210","kcnab2a",-1,-1,-1,0
"144","ENSDART00000127236","syt13",-1,-1,-1,-1
"145","ENSDART00000121684","nat8l",-1,-1,-1,-1
"146","ENSDART00000139449","si:dkey-147f3.4",1,1,1,0
"147","ENSDART00000082434","tgif1",1,1,1,1
"148","ENSDART00000019905","fndc4b",-1,-1,-1,0
"149","ENSDART00000076946","PDE4DIP",-1,-1,0,0
"150","ENSDART00000163096","gpr22b",-1,-1,-1,0
"151","ENSDART00000104616","lepr",1,1,1,1
"152","ENSDART00000155243","BX571762.2",-1,-1,-1,0
"153","ENSDART00000133954","mhc1uka",1,1,1,1
"154","ENSDART00000004416","lrp1ba",-1,-1,-1,0
"155","ENSDART00000141877","kcnk10a",1,1,1,1
"156","ENSDART00000164113","cpeb1a",1,1,1,0
"157","ENSDART00000073919","kcnc1b",-1,-1,0,0
"158","ENSDART00000141068","sox11b",1,1,1,1
"159","ENSDART00000091489","ppp1r9bb",-1,-1,0,0
"160","ENSDART00000066839","slc35g2b",-1,-1,-1,0
"161","ENSDART00000105484","si:ch211-216b21.2",-1,-1,0,0
"162","ENSDART00000109257","RASGRF1",-1,-1,-1,0
"163","ENSDART00000113574","anln",1,1,0,0
"164","ENSDART00000101658","ppp1r1b",-1,0,0,0
"165","ENSDART00000160466","ndrg4",-1,-1,0,0
"166","ENSDART00000166148","gabra1",-1,-1,-1,0
"167","ENSDART00000172215","si:ch211-39i2.2",1,1,1,1
"168","ENSDART00000165654","atp1b2a",-1,-1,0,0
"169","ENSDART00000026145","AMOTL1",1,1,1,0
"170","ENSDART00000158355","bsk146",-1,-1,0,0
"171","ENSDART00000124663","npc2",1,0,0,0
"172","ENSDART00000109573","akap6",1,1,1,1
"173","ENSDART00000129834","nat16",-1,-1,0,0
"174","ENSDART00000047569","igf2b",-1,-1,0,0
"175","ENSDART00000008594","tmem178",-1,-1,0,0
"176","ENSDART00000123797","pcp4b",-1,-1,-1,0
"177","ENSDART00000161436","pcdh7b",-1,-1,0,0
"178","ENSDART00000164484","dtnba",1,1,1,0
"179","ENSDART00000170374","si:dkey-38l22.2",1,1,1,0
"180","ENSDART00000154869","cacna1ha",-1,-1,0,0
"181","ENSDART00000027345","tmem59l",-1,-1,0,0
"182","ENSDART00000145562","robo4",1,1,1,0
"183","ENSDART00000055269","gng13b",-1,-1,1,1
"184","ENSDART00000104289","rab3ab",-1,-1,-1,0
"185","ENSDART00000075299","zgc:153911",1,1,1,1
"186","ENSDART00000163903","kcna2b",-1,-1,0,0
"187","ENSDART00000129975","scamp4",1,1,1,1
"188","ENSDART00000049992","syt9b",-1,-1,0,0
"189","ENSDART00000030890","hmox1a",1,0,0,0
"190","ENSDART00000121708","pcsk1nl",-1,-1,0,0
"191","ENSDART00000077386","prss16",1,0,0,0
"192","ENSDART00000004034","hpca",-1,-1,0,0
"193","ENSDART00000110061","spock2",-1,-1,0,0
"194","ENSDART00000065337","kif20a",1,1,1,0
"195","ENSDART00000150036","adam23a",-1,-1,0,0
"196","ENSDART00000157597","Metazoa_SRP",1,1,1,1
"197","ENSDART00000111321","zgc:152830",1,1,0,0
"198","ENSDART00000138540","ttyh1",-1,-1,0,0
"199","ENSDART00000132582","map4l",-1,-1,-1,0
"200","ENSDART00000129819","si:ch211-151p13.8",-1,-1,0,0
"201","ENSDART00000154748","sv2bb",-1,-1,-1,0
"202","ENSDART00000113511","lzts1",-1,-1,0,0
"203","ENSDART00000146284","kcnh3",-1,-1,-1,0
"204","ENSDART00000147343","dnase2",1,1,0,0
"205","ENSDART00000160662","CABZ01056578.1",-1,-1,0,0
"206","ENSDART00000050077","sdcbp",-1,-1,0,0
"207","ENSDART00000029457","sh2d3ca",-1,-1,0,0
"208","ENSDART00000092257","PLD5",-1,-1,0,0
"209","ENSDART00000079984","rpl22l1",1,1,1,0
"210","ENSDART00000155427","reep6",1,0,0,1
"211","ENSDART00000173108","gpc3",-1,-1,0,0
"212","ENSDART00000021231","slmapb",-1,-1,0,0
"213","ENSDART00000111156","pdp1",-1,-1,0,0
"214","ENSDART00000005847","nav3",1,1,1,1
"215","ENSDART00000161264","ntrk3b",-1,-1,0,0
"216","ENSDART00000161967","ctsc",1,0,0,0
"217","ENSDART00000102952","suz12a",1,1,1,1
"218","ENSDART00000138081","bcl6ab",1,1,1,1
"219","ENSDART00000128050","UTP14C",1,1,1,1
"220","ENSDART00000051723","si:ch211-193k19.1",-1,-1,-1,0
"221","ENSDART00000165411",NA,-1,-1,-1,0
"222","ENSDART00000114750","gabrb2",-1,-1,-1,0
"223","ENSDART00000132838","ank1a",-1,-1,-1,0
"224","ENSDART00000149175","pou4f3",-1,-1,0,0
"225","ENSDART00000141177","slc24a4a",-1,-1,-1,0
"226","ENSDART00000139722","dmtn",1,1,1,1
"227","ENSDART00000166690","gadd45ga",1,1,1,1
"228","ENSDART00000145111","parp4",1,1,1,0
"229","ENSDART00000125766","camkvb",-1,-1,-1,0
"230","ENSDART00000165912","si:ch73-380n15.2",-1,-1,-1,-1
"231","ENSDART00000132387","pvalb6",-1,-1,-1,0
"232","ENSDART00000151842","lrrn3a",-1,-1,0,0
"233","ENSDART00000031498","ccna2",1,1,1,0
"234","ENSDART00000002945","NPC2 (1 of many)",1,1,0,0
"235","ENSDART00000105932","si:dkeyp-110e4.11",-1,-1,0,0
"236","ENSDART00000110503","adam11",-1,-1,0,1
"237","ENSDART00000101653","CU639469.1",-1,-1,0,0
"238","ENSDART00000063779","efhd1",-1,-1,0,0
"239","ENSDART00000060812","adcyap1b",1,1,1,1
"240","ENSDART00000015034","blvrb",1,1,1,0
"241","ENSDART00000126780","rnaset2",1,0,0,0
"242","ENSDART00000134206","hspb8",1,1,0,0
"243","ENSDART00000102368","grin1a",-1,-1,-1,0
"244","ENSDART00000000876","nr4a1",-1,-1,-1,-1
"245","ENSDART00000141779","fndc5a",-1,-1,-1,0
"246","ENSDART00000111203","tagln3a",-1,-1,0,0
"247","ENSDART00000169834","CABZ01052431.1",1,1,1,0
"248","ENSDART00000146785","tmem163b",-1,-1,0,0
"249","ENSDART00000145616","adarb1b",-1,-1,0,0
"250","ENSDART00000037195","kif26bb",1,1,1,1
"251","ENSDART00000134973","pcnxl2",-1,-1,0,0
"252","ENSDART00000086617","gabbr2",-1,-1,-1,0
"253","ENSDART00000131940","si:dkey-30c15.10",1,1,1,0
"254","ENSDART00000149431","sema4aa",1,1,0,0
"255","ENSDART00000015418","irf2bpl",-1,-1,0,0
"256","ENSDART00000167359","dusp27",1,1,1,1
"257","ENSDART00000140153","mri1",1,1,1,1
"258","ENSDART00000130277","rpl9",1,1,1,0
"259","ENSDART00000144361","ank1b",-1,-1,0,0
"260","ENSDART00000138351","cth",1,1,1,0
"261","ENSDART00000067531","syn2a",-1,-1,0,0
"262","ENSDART00000114711","sorcs1",-1,-1,-1,0
"263","ENSDART00000156913","BX927184.1",1,1,1,1
"264","ENSDART00000102461","rgs8",-1,-1,-1,0
"265","ENSDART00000113864","faxca",-1,0,0,0
"266","ENSDART00000161906","vwa11",1,1,1,0
"267","ENSDART00000139795","syt2a",-1,-1,-1,0
"268","ENSDART00000092691","pea15",-1,-1,-1,0
"269","ENSDART00000085894","pgm5",1,1,1,1
"270","ENSDART00000140161","necab2",-1,-1,0,1
"271","ENSDART00000103491","rbp7b",1,1,0,0
"272","ENSDART00000083416","gabrd",-1,-1,-1,-1
"273","ENSDART00000021069","rpl38",1,1,0,0
"274","ENSDART00000134715","elmod1",-1,-1,0,0
"275","ENSDART00000159627","scn4ba",-1,-1,0,0
"276","ENSDART00000109486","gprc5ba",-1,-1,-1,0
"277","ENSDART00000153022","AL935194.1",-1,-1,0,0
